chain,n,different_weights,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
logical,3,7,0.1,0.025,parallelGibbs,395515,74951,1.3330499288728772,1.332374110251364,-0.0005069717246709571
logical,3,7,0.1,0.025,Kolmogorov,29976042,60474,1.2693135436936305,,
logical,3,7,0.1,0.025,parallelGibbs,322171,51787,1.2693135436936305,1.2693005698214055,-1.0221172136226642e-05
logical,3,5,0.1,0.025,Kolmogorov,29152754,74078,1.3396606551040808,,
logical,3,5,0.1,0.025,parallelGibbs,425120,75000,1.3396606551040808,1.3400721609969857,0.0003071717388556383
logical,3,7,0.1,0.025,Kolmogorov,24787828,79588,1.3468747188036243,,
logical,3,7,0.1,0.025,parallelGibbs,490638,77862,1.3468747188036243,1.346671795617862,-0.0001506622575427885
logical,3,7,0.1,0.025,Kolmogorov,34296813,77229,1.327239719505276,,
logical,3,7,0.1,0.025,parallelGibbs,355098,70698,1.327239719505276,1.3273543765727542,8.638761016044327e-05
logical,3,7,0.1,0.025,Kolmogorov,18479852,68228,1.3265999897359837,,
logical,3,7,0.1,0.025,parallelGibbs,507692,74591,1.3265999897359837,1.3269867164634213,0.0002915172097313068
logical,3,7,0.1,0.025,Kolmogorov,27031252,78016,1.353577421543499,,
logical,3,7,0.1,0.025,parallelGibbs,590618,79460,1.353577421543499,1.3536487325592836,5.268336679509211e-05
logical,3,7,0.1,0.025,Kolmogorov,23725194,79674,1.3666882145251182,,
logical,3,7,0.1,0.025,parallelGibbs,582474,83772,1.3666882145251182,1.3671716737791653,0.0003537450962909361
logical,3,6,0.1,0.025,Kolmogorov,14832042,46950,1.244056991256157,,
logical,3,6,0.1,0.025,parallelGibbs,189650,46835,1.244056991256157,1.2447486879038134,0.0005560007720852855
logical,3,7,0.1,0.1,Kolmogorov,2215684,77548,1.379741516891444,1.3809256651217596,0.0008582391816283064
logical,3,7,0.1,0.075,Kolmogorov,2952242,73652,1.379741516891444,1.3799079537065708,0.0001206289823776352
logical,3,7,0.1,0.05,Kolmogorov,9052695,81075,1.379741516891444,1.38035894386726,0.00044749467074622906
logical,3,7,0.1,0.04,Kolmogorov,6642600,76248,1.379741516891444,1.3818626258259266,0.0015373234105917621
logical,3,7,0.1,0.025,Kolmogorov,32795421,90213,1.379741516891444,1.3800876111717124,0.00025083994069285964
logical,3,7,0.1,0.01,Kolmogorov,164125873,93793,1.379741516891444,1.3807643746570955,0.0007413401373583817
logical,3,7,0.1,0.1,Kolmogorov,1979440,77848,1.379741516891444,1.3814820931420908,0.0012615234298147815
logical,3,7,0.1,0.075,Kolmogorov,4341130,79548,1.379741516891444,1.3793466902568263,-0.0002861598565991885
logical,3,7,0.1,0.05,Kolmogorov,8799962,83198,1.379741516891444,1.3815832908423062,0.0013348688347161186
logical,3,7,0.1,0.04,Kolmogorov,12660093,89613,1.379741516891444,1.380535671722282,0.0005755823254687265
logical,3,7,0.1,0.025,Kolmogorov,32155304,87728,1.379741516891444,1.380341672602096,0.0004349769165490347
logical,3,7,0.1,0.01,Kolmogorov,270998657,102113,1.379741516891444,1.3806062828755852,0.0006267594136686316
logical,3,7,0.1,0.1,Kolmogorov,1908369,75153,1.379741516891444,1.3825812169420866,0.002058139162935735
logical,3,7,0.1,0.075,Kolmogorov,3590896,77906,1.379741516891444,1.3822349576842607,0.0018071796508918325
logical,3,7,0.1,0.05,Kolmogorov,6152991,81219,1.379741516891444,1.3797738389641172,2.342617967032723e-05
logical,3,7,0.1,0.04,Kolmogorov,12209068,84124,1.379741516891444,1.3803225426429973,0.00042111203036232503
logical,3,7,0.1,0.025,Kolmogorov,21945557,80093,1.379741516891444,1.380671112986163,0.0006737465556689859
logical,3,7,0.1,0.01,Kolmogorov,229736026,91114,1.379741516891444,1.3807640246464965,0.0007410864589740829
logical,3,7,0.1,0.1,Kolmogorov,1607873,68489,1.379741516891444,1.383114346772671,0.002444537502086508
logical,3,7,0.1,0.075,Kolmogorov,2497162,78512,1.379741516891444,1.3793268694314775,-0.00030052546429182314
logical,3,7,0.1,0.05,Kolmogorov,4406027,76919,1.379741516891444,1.3814356315831449,0.0012278493260953205
logical,3,7,0.1,0.04,Kolmogorov,9165717,85269,1.379741516891444,1.3796925274549743,-3.550624219816889e-05
logical,3,7,0.1,0.025,Kolmogorov,32341417,87865,1.379741516891444,1.3806898523948812,0.000687328381314245
logical,3,7,0.1,0.01,Kolmogorov,228127830,106998,1.379741516891444,1.3803742339099954,0.0004585764875559839
logical,3,7,0.1,0.1,Kolmogorov,2252568,75624,1.379741516891444,1.3833890273632639,0.002643618697535155
logical,3,7,0.1,0.075,Kolmogorov,2671478,75196,1.379741516891444,1.3801307014210475,0.00028207060876184187
logical,3,7,0.1,0.05,Kolmogorov,7156615,79195,1.379741516891444,1.3812170666641985,0.0010694392787997664
logical,3,7,0.1,0.04,Kolmogorov,13121907,84675,1.379741516891444,1.38022183007375,0.0003481182354998502
logical,3,7,0.1,0.025,Kolmogorov,25112810,85754,1.379741516891444,1.3800734555562233,0.00024058032661589124
logical,3,7,0.1,0.01,Kolmogorov,160391369,94673,1.379741516891444,1.3806041077901339,0.0006251829695125277
logical,3,7,0.1,0.1,Kolmogorov,1533702,73782,1.379741516891444,1.3786351905347893,-0.0008018359548586096
